Site	truth	ReDD
chr1-10457634	0.08	0.15384615384615385
chr1-10457640	0.01	0.11538461538461539
chr1-10457941	0.05	0.4444444444444444
chr1-10457955	0.01	0.2222222222222222
chr1-10457963	0.01	0.2222222222222222
chr1-10457968	0.01	0.0
chr1-10457993	0.01	0.4444444444444444
chr1-10457995	0.07	0.7777777777777778
chr1-10459789	0.01	0.0
chr1-10459807	0.01	0.0
chr1-10459817	0.05	0.0
chr1-10459820	0.01	0.0
chr1-10459852	0.05	0.25
chr1-10459875	0.15	0.0
chr1-10459889	0.06	0.0
chr1-10459890	0.13	0.0
chr1-10459891	0.04	0.0
chr1-10459892	0.02	0.0
chr1-10459893	0.04	0.0
chr1-10459894	0.05	0.09090909090909091
chr1-10459895	0.03	0.0
chr1-10459897	0.01	0.0
chr1-10459912	0.01	0.0
chr1-10459920	0.01	0.16666666666666666
chr1-10459972	0.01	0.0
chr1-10459979	0.01	0.0
chr1-10459988	0.05	0.5384615384615384
chr1-10460002	0.01	0.0
chr1-10460041	0.02	0.23076923076923078
chr1-10460088	0.13	0.0
chr1-10460121	0.16	0.07692307692307693
chr1-10460163	0.01	0.38461538461538464
chr1-10460176	0.05	0.07692307692307693
chr1-10460188	0.02	0.08333333333333333
chr1-10460239	0.45	0.3
chr1-10460313	0.01	0.0
chr1-10460357	0.02	0.3333333333333333
chr1-10460385	0.02	0.125
chr1-10460398	0.02	0.0
chr1-10460399	0.06	0.0
chr1-10460400	0.02	0.0
chr1-10460406	0.02	0.0
chr1-10460407	0.01	0.0
chr1-10460411	0.03	0.0
chr1-10460432	0.02	0.5714285714285714
chr1-10460447	0.03	0.0
chr1-10460448	0.11	0.0
chr1-10460466	0.01	0.125
chr1-11287675	0.02	0.38461538461538464
chr1-11287752	0.02	0.0
chr1-11287808	0.02	1.0
chr1-11298060	0.55	0.5
chr1-11298061	0.51	0.5
chr1-11298065	0.04	0.0
chr1-11298068	0.29	0.3333333333333333
chr1-11298078	0.08	0.16666666666666666
chr1-11298088	0.07	0.0
chr1-11298090	0.3	0.5
chr1-11298100	0.2	0.4
chr1-11298102	0.05	0.0
chr1-11298121	0.63	0.6666666666666666
chr1-11298125	0.15	0.0
chr1-11298179	0.05	0.0
chr1-11298180	0.16	0.3333333333333333
chr1-11298193	0.22	0.16666666666666666
chr1-11298220	0.36	0.2
chr1-11298304	0.25	0.0
chr1-11298353	0.63	0.0
chr1-11298358	0.26	0.5
chr1-11298359	0.87	0.3333333333333333
chr1-11298367	0.11	0.0
chr1-11298391	0.06	0.0
chr1-11298406	0.23	0.0
chr1-11298407	0.12	0.0
chr1-11298412	0.09	0.0
chr1-11298418	0.06	0.0
chr1-11298421	0.49	0.5
chr1-11298437	0.15	0.0
chr1-11298441	0.36	0.0
chr1-11298446	0.13	0.8333333333333334
chr1-11298447	0.46	0.6666666666666666
chr1-11298452	0.09	0.0
chr1-11298482	0.22	0.0
chr1-11298486	0.75	0.16666666666666666
chr1-11298487	0.16	0.0
chr1-11298488	0.09	0.0
chr1-15807419	0.79	0.8888888888888888
chr1-16563147	0.35	0.2
chr1-19215745	0.14	0.0
chr1-19215755	0.07	0.2857142857142857
chr1-19215756	0.62	0.8571428571428571
chr1-19215759	0.03	0.0
chr1-19215767	0.2	0.0
chr1-19215768	0.03	0.2857142857142857
chr1-19215775	0.28	0.5714285714285714
chr1-19215807	0.18	0.16666666666666666
chr1-19215811	0.06	0.14285714285714285
chr1-19215817	0.03	0.7142857142857143
chr1-19215839	0.08	0.0
chr1-19215843	0.03	0.14285714285714285
chr1-19215849	0.04	0.0
chr1-19215850	0.09	0.0
chr1-19215852	0.03	0.0
chr1-19215860	0.05	0.0
chr1-19215870	0.04	0.14285714285714285
chr1-19215875	0.02	0.14285714285714285
chr1-19215907	0.17	0.0
chr1-19215908	0.03	0.42857142857142855
chr1-19215916	0.13	0.2857142857142857
chr1-19215921	0.14	0.0
chr1-19215931	0.07	0.0
chr1-19215939	0.07	0.0
chr1-19215956	0.04	0.14285714285714285
chr1-19215961	0.16	1.0
chr1-19215962	0.23	0.8571428571428571
chr1-19215970	0.22	0.0
chr1-19258999	0.05	0.125
chr1-19259007	0.01	0.4
chr1-19259008	0.03	0.37777777777777777
chr1-19259013	0.01	0.18604651162790697
chr1-19259016	0.01	0.21951219512195122
chr1-19259025	0.14	0.02564102564102564
chr1-19259046	0.01	0.20512820512820512
chr1-19259060	0.03	0.02564102564102564
chr1-19259074	0.01	0.07692307692307693
chr1-19259128	0.04	0.6923076923076923
chr1-19259144	0.01	0.9487179487179487
chr1-19259943	0.02	0.175
chr1-19259961	0.12	0.2894736842105263
chr1-19260007	0.37	0.5405405405405406
chr1-19260026	0.08	0.13157894736842105
chr1-19260038	0.11	0.07692307692307693
chr1-19329080	0.03	0.0
chr1-19329081	0.07	0.08333333333333333
chr1-19329086	0.05	0.041666666666666664
chr1-19329101	0.03	0.15
chr1-19329110	0.03	0.5833333333333334
chr1-19329136	0.27	0.7916666666666666
chr1-19329142	0.03	0.0
chr1-19329146	0.03	0.16666666666666666
chr1-19329189	0.04	0.125
chr1-20651888	0.02	0.029850746268656716
chr1-20651918	0.01	0.14285714285714285
chr1-20651930	0.01	0.0
chr1-20651937	0.01	0.41044776119402987
chr1-20651958	0.07	0.007462686567164179
chr1-20651964	0.24	0.6865671641791045
chr1-20651990	0.05	0.16541353383458646
chr1-20652003	0.02	0.007575757575757576
chr1-20652006	0.02	0.16417910447761194
chr1-20652009	0.01	0.03731343283582089
chr1-20652020	0.01	0.0
chr1-20652022	0.02	0.007462686567164179
chr1-20652071	0.03	0.03731343283582089
chr1-20652097	0.04	0.5074626865671642
chr1-20743474	0.01	0.9347826086956522
chr1-20743499	0.01	0.2
chr1-20743983	0.01	0.13333333333333333
chr1-20744017	0.01	0.6071428571428571
chr1-21218595	0.04	0.25
chr1-21484182	0.16	0.0
chr1-21484321	0.1	0.16666666666666666
chr1-23507329	0.03	0.4166666666666667
chr1-25817417	0.01	0.48
chr1-25834426	0.03	0.4
chr1-25834429	0.04	0.1
chr1-25834495	0.1	0.1111111111111111
chr1-25834505	0.04	0.1
chr1-25834507	0.02	0.0
chr1-26876321	0.11	0.05
chr1-26876331	0.06	0.0
chr1-26876340	0.23	0.5882352941176471
chr1-26876353	0.09	0.2857142857142857
chr1-26876354	0.08	0.2857142857142857
chr1-26876391	0.06	0.08333333333333333
chr1-26876396	0.09	0.0
chr1-26876397	0.24	0.0
chr1-26876412	0.04	0.07142857142857142
chr1-26876431	0.04	0.0
chr1-26876468	0.1	0.08333333333333333
chr1-26876469	0.15	0.0
chr1-26876490	0.14	0.7857142857142857
chr1-26876491	0.16	0.35714285714285715
chr1-26876509	0.12	0.14285714285714285
chr1-26877791	0.45	0.2
chr1-26877867	0.56	0.2
chr1-26877911	0.11	0.0
chr1-26877921	0.25	0.6
chr1-26877946	0.5	0.2
chr1-26877949	0.42	0.2
chr1-26877950	0.15	0.2
chr1-26877956	0.17	0.6
chr1-26877969	0.08	0.0
chr1-26877975	0.12	0.2
chr1-28335065	0.49	0.16666666666666666
chr1-28335142	0.13	0.0
chr1-28335145	0.14	0.05
chr1-28335154	0.08	0.1
chr1-28335171	0.09	0.85
chr1-28335181	0.12	0.05
chr1-28335183	0.07	0.15
chr1-28335187	0.04	0.21052631578947367
chr1-28335208	0.1	0.0
chr1-28335222	0.03	0.3
chr1-28335256	0.04	0.0
chr1-28335302	0.03	0.0
chr1-28335320	0.02	0.2857142857142857
chr1-28335546	0.03	0.0
chr1-28335551	0.03	0.06896551724137931
chr1-28335561	0.06	0.06060606060606061
chr1-28335568	0.02	0.5454545454545454
chr1-28335660	0.06	0.06060606060606061
chr1-28335662	0.02	0.25
chr1-28335669	0.05	0.15625
chr1-28335675	0.05	0.12121212121212122
chr1-28335688	0.53	0.8235294117647058
chr1-28335702	0.14	0.5882352941176471
chr1-28335734	0.06	0.029411764705882353
chr1-28335742	0.23	0.17647058823529413
chr1-28335743	0.03	0.14705882352941177
chr1-28335747	0.03	0.78125
chr1-28335805	0.03	0.0
chr1-28497343	0.06	0.0
chr1-28497449	0.03	0.0
chr1-28497450	0.03	0.0
chr1-28497454	0.1	0.8
chr1-28497738	0.02	0.3333333333333333
chr1-28497792	0.04	0.0
chr1-28497848	0.03	0.5
chr1-28497875	0.03	0.8333333333333334
chr1-28497881	0.02	0.16666666666666666
chr1-28497917	0.05	0.0
chr1-28497946	0.03	0.3333333333333333
chr1-28498819	0.2	0.0
chr1-28498825	0.16	0.9090909090909091
chr1-28498827	0.01	0.18181818181818182
chr1-28498845	0.02	0.36363636363636365
chr1-28498858	0.46	0.25
chr1-28498867	0.02	0.16666666666666666
chr1-28498869	0.05	0.0
chr1-28498881	0.01	0.08333333333333333
chr1-28498882	0.02	0.4166666666666667
chr1-28498892	0.01	0.08333333333333333
chr1-28498903	0.15	0.16666666666666666
chr1-28498906	0.29	0.08333333333333333
chr1-28498907	0.23	0.0
chr1-28498908	0.01	0.0
chr1-28498909	0.05	0.0
chr1-28498910	0.01	0.0
chr1-28498914	0.01	0.0
chr1-28498915	0.05	0.2
chr1-28498916	0.04	0.1
chr1-28498917	0.03	0.0
chr1-28498918	0.07	0.0
chr1-28498921	0.23	0.6666666666666666
chr1-28498937	0.03	0.08333333333333333
chr1-28498948	0.03	0.38461538461538464
chr1-28498953	0.18	0.23076923076923078
chr1-28498957	0.05	0.09090909090909091
chr1-28498961	0.1	0.2857142857142857
chr1-28498977	0.02	0.0
chr1-28498979	0.05	0.06666666666666667
chr1-28498988	0.04	0.0
chr1-28498993	0.23	0.25
chr1-28499017	0.07	0.3076923076923077
chr1-28499018	0.03	0.23076923076923078
chr1-28499025	0.06	0.0
chr1-28499047	0.03	0.14285714285714285
chr1-28499158	0.02	0.0
chr1-28499161	0.05	0.0
chr1-28499179	0.02	0.05555555555555555
chr1-28499192	0.1	0.3333333333333333
chr1-28499199	0.05	0.05555555555555555
chr1-28499205	0.15	0.5555555555555556
chr1-28499235	0.06	0.0
chr1-28499248	0.64	0.3157894736842105
chr1-28499253	0.04	0.5789473684210527
chr1-28499261	0.1	0.15789473684210525
chr1-28499265	0.1	0.6842105263157895
chr1-28499275	0.25	0.3684210526315789
chr1-28499301	0.04	0.15789473684210525
chr1-28499307	0.25	0.0
chr1-28499315	0.05	0.15
chr1-28499318	0.2	0.65
chr1-28499335	0.18	0.05
chr1-28499344	0.05	0.1
chr1-28499387	0.02	0.25
chr1-28499397	0.05	0.047619047619047616
chr1-28499519	0.45	0.3333333333333333
chr1-28499541	0.01	0.08695652173913043
chr1-28499543	0.01	0.043478260869565216
chr1-28499554	0.01	0.0
chr1-28499556	0.07	0.0
chr1-28499573	0.11	0.43478260869565216
chr1-28499580	0.03	0.0
chr1-28499583	0.04	0.13043478260869565
chr1-28499592	0.01	0.13043478260869565
chr1-28499602	0.09	0.08695652173913043
chr1-28499606	0.13	0.782608695652174
chr1-28499616	0.06	0.21739130434782608
chr1-28499618	0.05	0.0
chr1-28499622	0.03	0.13636363636363635
chr1-28499629	0.02	0.19047619047619047
chr1-28499661	0.01	0.0
chr1-28499666	0.02	0.30434782608695654
chr1-28499678	0.51	0.6086956521739131
chr1-28499710	0.01	0.0
chr1-28499711	0.02	0.0
chr1-28499738	0.04	0.08333333333333333
chr1-28499749	0.01	0.0
chr1-28509341	0.01	0.11956521739130435
chr1-28509371	0.01	0.6086956521739131
chr1-28509416	0.01	0.010752688172043012
chr1-28509422	0.09	0.18681318681318682
chr1-28509425	0.11	0.7934782608695652
chr1-28509491	0.02	0.2736842105263158
chr1-29118152	0.01	0.19047619047619047
chr1-29118188	0.01	0.0
chr1-29118348	0.01	0.2
chr1-29193042	0.23	0.0
chr1-29193047	0.05	0.16666666666666666
chr1-29193083	0.2	0.8333333333333334
chr1-29193089	0.06	0.16666666666666666
chr1-29193101	0.17	0.0
chr1-29193109	0.08	0.16666666666666666
chr1-29193121	0.04	0.0
chr1-29193122	0.11	0.0
chr1-29193123	0.04	0.0
chr1-29193127	0.05	0.16666666666666666
chr1-29193148	0.04	0.16666666666666666
chr1-29193153	0.18	0.0
chr1-29193200	0.19	0.16666666666666666
chr1-29193217	0.04	0.6666666666666666
chr1-29193218	0.05	0.3333333333333333
chr1-29193224	0.23	0.3333333333333333
chr1-29193226	0.08	0.0
chr1-32175732	0.02	0.52
chr1-32175738	0.02	0.0
chr1-32231289	0.03	0.2018181818181818
chr1-32231305	0.01	0.4918625678119349
chr1-32231326	0.01	0.03597122302158273
chr1-32231331	0.01	0.02154398563734291
chr1-32231335	0.01	0.021778584392014518
chr1-32231406	0.01	0.1774193548387097
chr1-32231412	0.01	0.03041144901610018
chr1-32231423	0.01	0.41335740072202165
chr1-32621157	0.04	0.0
chr1-32621211	0.31	0.3333333333333333
chr1-32621236	0.03	0.2857142857142857
chr1-32621251	0.05	0.0
chr1-32621275	0.19	0.0
chr1-32621287	0.04	1.0
chr1-32621299	0.03	0.0
chr1-32682314	0.06	0.0
chr1-32682323	0.02	0.16666666666666666
chr1-32682327	0.06	0.2
chr1-32682495	0.18	0.5
chr1-32682509	0.03	0.16666666666666666
chr1-32682517	0.09	1.0
chr1-32682518	0.08	0.6666666666666666
chr1-32682526	0.02	0.16666666666666666
chr1-32682561	0.07	0.0
chr1-32682570	0.03	0.0
chr1-32682585	0.03	0.0
chr1-32682587	0.02	0.0
chr1-32682610	0.02	0.0
chr1-32682611	0.04	0.0
chr1-32682612	0.07	0.0
chr1-32682615	0.1	0.0
chr1-32682619	0.02	0.0
chr1-32682624	0.02	0.0
chr1-32682660	0.05	0.16666666666666666
chr1-32682681	0.09	0.2
chr1-32683655	0.15	0.0
chr1-32683659	0.05	0.0
chr1-32683665	0.17	0.9166666666666666
chr1-32683732	0.05	0.25
chr1-32683759	0.02	0.0
chr1-32683762	0.15	0.9166666666666666
chr1-32683774	0.13	0.08333333333333333
chr1-32683798	0.12	0.0
chr1-32683799	0.08	0.09090909090909091
chr1-32683807	0.03	0.0
chr1-32683813	0.09	0.3076923076923077
chr1-32683824	0.01	0.0
chr1-32683833	0.05	0.0
chr1-32683842	0.13	0.23076923076923078
chr1-32683872	0.01	0.15384615384615385
chr1-32683885	0.2	0.23076923076923078
chr1-32683893	0.01	0.0
chr1-32683894	0.05	0.07692307692307693
chr1-32683895	0.12	0.15384615384615385
chr1-32683901	0.5	0.6923076923076923
chr1-32683907	0.12	0.46153846153846156
chr1-32685041	0.04	0.37037037037037035
chr1-32857491	0.01	0.1111111111111111
chr1-35434183	0.01	0.05
chr1-35434217	0.01	0.0
chr1-35599888	0.3	0.2
chr1-35599889	0.19	0.2
chr1-35599903	0.36	0.0
chr1-35602076	0.05	0.47126436781609193
chr1-35602113	0.06	0.10227272727272728
chr1-35602126	0.02	0.08045977011494253
chr1-35602127	0.03	0.045454545454545456
chr1-35602148	0.07	0.14942528735632185
chr1-35602151	0.04	0.19767441860465115
chr1-35602159	0.19	0.5180722891566265
chr1-35602165	0.03	0.0
chr1-35602183	0.25	0.19767441860465115
chr1-35602187	0.01	0.27058823529411763
chr1-35602210	0.02	0.19767441860465115
chr1-35602216	0.68	0.9186046511627907
chr1-35602220	0.05	0.7441860465116279
chr1-35602232	0.04	0.19767441860465115
chr1-35602237	0.4	0.1411764705882353
chr1-35602249	0.02	0.25882352941176473
chr1-35602250	0.02	0.03529411764705882
chr1-35602270	0.01	0.10714285714285714
chr1-35602285	0.8	0.6666666666666666
chr1-35602316	0.01	0.5068493150684932
chr1-35602565	0.05	0.6388888888888888
chr1-35602570	0.01	0.05714285714285714
chr1-35602583	0.48	0.3333333333333333
chr1-35602587	0.02	0.09090909090909091
chr1-35602595	0.09	0.0
chr1-35602603	0.01	0.0
chr1-35602604	0.01	0.0
chr1-35602606	0.01	0.0
chr1-35602609	0.33	0.34285714285714286
chr1-35602626	0.02	0.029411764705882353
chr1-35602630	0.3	0.0
chr1-35602642	0.04	0.058823529411764705
chr1-35602662	0.01	0.25
chr1-35602666	0.01	0.0
chr1-35602674	0.08	0.0967741935483871
chr1-35602675	0.12	0.0967741935483871
chr1-35602676	0.02	0.09090909090909091
chr1-35602680	0.18	0.12121212121212122
chr1-35602692	0.02	0.0
chr1-35602693	0.01	0.03125
chr1-35602714	0.01	0.030303030303030304
chr1-35602763	0.03	0.0
chr1-35602768	0.22	0.5517241379310345
chr1-35602769	0.35	0.7241379310344828
chr1-35734553	0.03	0.0
chr1-35734559	0.04	0.16666666666666666
chr1-35734566	0.03	0.0
chr1-35734569	0.05	0.0
chr1-35734572	0.05	0.0
chr1-35856670	0.03	0.0
chr1-37801708	0.03	0.6
chr1-37802250	0.1	0.0
chr1-37802286	0.07	0.0
chr1-37802344	0.07	0.16666666666666666
chr1-37802364	0.08	0.5
chr1-37802370	0.08	0.6666666666666666
chr1-37802436	0.06	0.3333333333333333
chr1-37860971	0.28	0.07142857142857142
chr1-37860989	0.07	0.2857142857142857
chr1-37861008	0.04	0.14285714285714285
chr1-37861011	0.05	0.35714285714285715
chr1-37861032	0.08	0.0
chr1-37861033	0.07	0.0
chr1-37861056	0.4	0.07692307692307693
chr1-37861066	0.03	0.21428571428571427
chr1-37861101	0.02	0.42857142857142855
chr1-37861102	0.04	0.35714285714285715
chr1-37861469	0.03	0.2857142857142857
chr1-37861481	0.02	0.14285714285714285
chr1-37861509	0.06	0.0
chr1-37861534	0.06	0.0
chr1-37861870	0.18	0.6
chr1-37861873	0.08	0.4
chr1-37861912	0.54	0.0
chr1-37861924	0.04	1.0
chr1-37862028	0.27	0.0
chr1-39005161	0.01	0.6116504854368932
chr1-44777291	0.01	0.16666666666666666
chr1-44777333	0.01	0.0
chr1-44777345	0.02	0.0
chr1-45509542	0.03	1.0
chr1-45509552	0.02	0.0
chr1-45509578	0.21	0.2
chr1-45509594	0.05	0.2
chr1-45509686	0.08	0.0
chr1-45509826	0.04	0.5
chr1-45509827	0.05	0.8333333333333334
chr1-45509835	0.06	0.0
chr1-45509894	0.02	0.0
chr1-45509896	0.05	0.0
chr1-45509900	0.03	0.16666666666666666
chr1-45509901	0.02	0.0
chr1-45509902	0.14	0.16666666666666666
chr1-45509916	0.02	0.3333333333333333
chr1-45509930	0.05	0.3333333333333333
chr1-45509943	0.02	0.6666666666666666
chr1-45509948	0.01	0.0
chr1-45509956	0.32	0.8333333333333334
chr1-45509962	0.03	0.0
chr1-45509970	0.05	0.6666666666666666
chr1-45509989	0.03	0.0
chr1-45509992	0.03	0.0
chr1-45509997	0.3	0.5
chr1-45509998	0.56	0.3333333333333333
chr1-45510005	0.02	0.16666666666666666
chr1-45510009	0.03	0.16666666666666666
chr1-45510440	0.02	0.625
chr1-45510441	0.01	0.625
chr1-46364026	0.03	0.25
chr1-46364437	0.04	0.0
chr1-46364438	0.11	0.2222222222222222
chr1-46364541	0.03	0.0
chr1-46364551	0.03	0.3333333333333333
chr1-46364552	0.04	0.1111111111111111
chr1-46364621	0.03	0.5555555555555556
chr1-50437453	0.3	0.0
chr1-50437523	0.9	0.875
chr1-50437821	0.25	0.0
chr1-52373088	0.02	0.7575757575757576
chr1-52373126	0.13	0.45454545454545453
chr1-52685633	0.02	0.42857142857142855
chr1-52685634	0.01	0.21428571428571427
chr1-52685663	0.01	0.07142857142857142
chr1-52685671	0.01	0.0
chr1-52685734	0.01	0.0
chr1-52685739	0.01	0.0
chr1-52685895	0.01	0.0
chr1-52685937	0.01	0.1
chr1-52685938	0.05	0.0
chr1-52685961	0.03	0.0
chr1-52685976	0.01	0.36363636363636365
chr1-52686009	0.01	0.5454545454545454
chr1-52686044	0.01	0.0
chr1-52686117	0.01	0.0
chr1-52686138	0.01	0.4444444444444444
chr1-52686586	0.02	0.5714285714285714
chr1-52686612	0.02	0.42857142857142855
chr1-52686622	0.01	0.0
chr1-52686629	0.04	0.14285714285714285
chr1-52686632	0.02	0.0
chr1-52686720	0.01	0.0
chr1-52825710	0.04	0.0
chr1-52825723	0.02	0.0
chr1-52825736	0.11	0.0
chr1-52825762	0.2	0.16666666666666666
chr1-52825763	0.24	0.3333333333333333
chr1-52825771	0.02	0.0
chr1-54099480	0.13	0.0
chr1-54099486	0.15	0.7
chr1-54099488	0.05	0.3
chr1-54099489	0.04	0.6
chr1-54099505	0.03	0.1
chr1-54099545	0.08	0.0
chr1-54099567	0.02	0.1
chr1-54099568	0.02	0.1
chr1-54099584	0.02	0.0
chr1-54099593	0.02	0.0
chr1-54099597	0.02	0.3
chr1-54099623	0.07	0.7
chr1-54099624	0.08	0.7
chr1-54099640	0.05	0.4
chr1-54099688	0.28	0.6
chr1-54099689	0.18	0.5
chr1-54099693	0.03	0.1
chr1-54099694	0.06	0.1
chr1-54099701	0.04	0.0
chr1-54099970	0.17	0.5555555555555556
chr1-54099975	0.04	0.1111111111111111
chr1-54099981	0.12	0.1111111111111111
chr1-54099983	0.05	0.8888888888888888
chr1-54099984	0.04	0.7777777777777778
chr1-54100044	0.04	0.0
chr1-54100080	0.04	0.0
chr1-54100096	0.07	0.0
chr1-54100135	0.1	0.0
chr1-54100144	0.14	0.1111111111111111
chr1-54100158	0.09	0.0
chr1-54100159	0.12	0.0
chr1-54100225	0.1	0.0
chr1-54112245	0.27	0.6
chr1-67409006	0.46	0.7727272727272727
chr1-67409014	0.13	0.36363636363636365
chr1-67409166	0.04	1.0
chr1-67409176	0.16	0.3333333333333333
chr1-70439712	0.01	0.05555555555555555
chr1-70439725	0.01	0.2777777777777778
chr1-70439728	0.05	0.16666666666666666
chr1-70439756	0.01	0.5
chr1-70439761	0.06	0.2222222222222222
chr1-70439767	0.01	0.0
chr1-70439779	0.01	0.0
chr1-70439782	0.01	0.15789473684210525
chr1-70439795	0.01	0.0
